net_name,type,fanout
x_ct_core_x_ct_lsu_top_x_ct_lsu_sq_x_ct_lsu_sq_entry_6_sq_entry_bond_first_only,reset,2
x_ct_had_private_top_x_ct_had_ctrl_had_clk_en_ff,clock,2
x_ct_rst_top_core_rst_ff_1st_danc_53726,reset,2
x_ct_rst_top_fpurst_b_danc_57626,reset,2
biu_pad_arburst[0],reset,2
biu_pad_arburst[1],reset,2
biu_pad_awburst[0],reset,2
biu_pad_awburst[1],reset,2
lsu_biu_aw_st_burst[1],reset,2
x_ct_core_x_ct_vfpu_top_x_ct_vfdsu_top_x_ct_vfdsu_double_vfdsu_ex3_sing_expnt_rst[5],reset,2
pad_core_rst_b,reset,1
pad_cpu_rst_b,reset,1
biu_pad_arburst[1:0],reset,0
biu_pad_awburst[1:0],reset,0
ifu_biu_rd_burst[1:0],reset,0
ifu_biu_rd_burst[0],reset,0
lsu_biu_ar_burst[1:0],reset,0
lsu_biu_aw_st_burst[1:0],reset,0
lsu_biu_aw_st_burst[0],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[63:0],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[32],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[33],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[34],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[35],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[36],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[37],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[38],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[39],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[40],reset,0
x_ct_core_x_ct_vfpu_top_x_ct_vfmau_top_pipe6_x_ct_vfmau_mult1_slice0_mult1_ex3_rst_abnorm[41],reset,0
